rank,experiment_id,cycle,condition,seed,search_mode,config_hash,accuracy,fitness_score,input_tokens,output_tokens,latency_seconds,reasoning_mode,agent_count,roles,communication_order,aggregation,temperature,max_tokens,hypothesis,critic_recommendation
11,1c2a946b-1788-458b-9211-1d2f0d75684e,3,memory_without_augmentation,2026,exploitation,2b998dcaea22f7b583a71069343bec20609d532659ad2a5b75040313ed11004f,0.7,0.7,42395,36119,552.5106688295491,chain_of_thought,1,reasoner,reasoner,single_answer,0.0,512,"Using chain_of_thought reasoning mode with a single agent improves accuracy by forcing explicit step-by-step reasoning, which may better capture nuanced biomedical evidence.","Increase max_tokens to 1024 to allow for more comprehensive reasoning, while monitoring latency and output extraction success rates."
12,39ef4a10-8412-47b5-b27a-520b0886b5c8,9,no_memory,2026,exploration,0a5374a99e8e58c4d4a275d367ba6f61face92c2a16b3bde718077112cbfa414,0.7,0.7,44995,39354,601.7025689552538,chain_of_thought,1,agent_1,agent_1,single_answer,0.0,1024,Using chain_of_thought reasoning mode with a single agent will improve accuracy by enabling step-by-step verification of the evidence.,Test the chain_of_thought mode with a reduced max_tokens value or a more efficient reasoning mode to balance accuracy and latency.
13,511f757a-e436-4811-bfc6-0bda91334fc8,1,full_memory,2026,exploration,44f7ceddb32cca62151d543492691ccf49f57939baff7b9b7128f29a471ac3ce,0.69,0.69,44895,37429,571.5561149748974,chain_of_thought,1,agent1,agent1,single_answer,0.0,512,Using chain_of_thought reasoning mode with a single agent and reduced max_tokens (512) improves accuracy while mitigating latency.,Increase max_tokens to 1024 and re-run the experiment to assess if higher token limits improve output reliability and reduce extraction errors.
14,40575517-c05f-4d31-a2dd-a914a5338e41,5,no_memory,2026,exploration,a8f2e90a8bb7480f7790cddac5fb8913dab7164d1ecc8c4b12652fac8ecb7119,0.67,0.67,137385,2071,224.48955786414444,self_consistency,3,reasoner_1 | reasoner_2 | reasoner_3,reasoner_1 | reasoner_2 | reasoner_3,majority_vote,0.0,1024,Using self_consistency with majority_vote can improve accuracy by leveraging diverse reasoning paths and reducing error propagation.,"Test with a higher agent_count (e.g., 5) to further evaluate scalability and potential accuracy gains."
15,e9d601af-52c8-400f-addc-9e2504516c7d,2,full_memory,2026,exploration,acffb8c19e634ff786654ba2f167020a4f978d42506cab792665cda317505183,0.65,0.65,136785,1500,155.81247974280268,self_consistency,3,agent1 | agent2 | agent3,agent1 | agent2 | agent3,majority_vote,0.0,1024,"Using self_consistency reasoning mode with majority_vote aggregation and three agents improves accuracy by leveraging independent reasoning and consensus, which may better handle biomedical ambiguity and reduce extraction errors.","Test a reduced agent_count (e.g., 2) or adjust max_tokens to evaluate if lower resource usage preserves accuracy without sacrificing performance."
16,de77286e-1f85-4a4d-8912-e55b0300648f,1,memory_without_augmentation,2026,exploration,5b46914dae817f7f8544fbdd0b736021ac0e49fdab3cdc5ad2e175724a5df008,0.65,0.65,137085,1805,160.4498068797402,self_consistency,3,reasoner1 | reasoner2 | reasoner3,reasoner1 | reasoner2 | reasoner3,majority_vote,0.0,1024,Using self_consistency with majority_vote aggregation and three agents improves accuracy by leveraging diverse reasoning paths and reducing the risk of overconfidence in single-agent outputs.,"Reduce agent_count to 1 and test with a different aggregation method, such as single_answer, to evaluate if performance can be maintained without the overhead of multi-agent reasoning."
17,7b0d094e-e927-42c3-8b5f-31cf468f2415,9,memory_without_augmentation,2026,exploitation,246ff2793e67b803ed1c5cdcd30a9e4fa24f04481d05870b531c16d39aa064de,0.65,0.65,137085,1805,160.56233246717602,self_consistency,3,reasoner1 | reasoner2 | reasoner3,reasoner1 | reasoner2 | reasoner3,majority_vote,0.0,2048,Using self_consistency with majority_vote aggregation and three agents improves accuracy by leveraging diverse reasoning paths and reducing the risk of overconfidence in single-agent outputs.,"Reduce agent_count to 1 and keep reasoning_mode as 'self_consistency' to test if single-agent reasoning with extended reasoning depth (e.g., max_tokens=2048) improves accuracy without increasing latency."
18,beb9692f-5fa6-43f0-bb8a-3bb2f17191f3,1,no_memory,2026,exploration,acffb8c19e634ff786654ba2f167020a4f978d42506cab792665cda317505183,0.65,0.65,136785,1500,155.90783866494894,self_consistency,3,agent1 | agent2 | agent3,agent1 | agent2 | agent3,majority_vote,0.0,1024,Using self_consistency with majority_vote will improve accuracy by leveraging multiple independent reasoning paths and aggregating the most supported answer.,"Test a different aggregation method, such as 'first_answer' or 'last_answer', to see if it improves performance by reducing the overhead of majority voting while maintaining reasoning diversity."
19,808b32fa-52d5-4996-b9ca-3ae49ee9c18d,2,no_memory,2026,exploration,5b46914dae817f7f8544fbdd0b736021ac0e49fdab3cdc5ad2e175724a5df008,0.65,0.65,137085,1805,220.50293421000242,self_consistency,3,reasoner1 | reasoner2 | reasoner3,reasoner1 | reasoner2 | reasoner3,majority_vote,0.0,1024,Using self_consistency with majority_vote will improve accuracy by leveraging multiple independent reasoning paths and aggregating the most consistent answer.,"Test a reduced agent_count (e.g., 2) to balance latency and accuracy, while keeping reasoning_mode='self_consistency' and aggregation='majority_vote'."
20,6222f11c-3877-417a-b6d3-72e4d3b71c20,4,no_memory,2026,exploration,e7d57f1f88d71c87a8ce9f7f15e25f8fd8500286dfc23ac698fc5b24b2d65938,0.65,0.65,137085,1805,161.4888819437474,self_consistency,3,reasoner1 | reasoner2 | final_verifier,reasoner1 | reasoner2 | final_verifier,majority_vote,0.0,1024,Using self_consistency with majority_vote will improve accuracy by leveraging multiple independent reasoning paths and aggregating the most supported answer.,"Test a reduced agent_count (e.g., 2) with the same reasoning_mode and aggregation to evaluate if fewer roles reduce overhead while maintaining or improving accuracy."
21,468a1822-df29-4221-b081-e3cc8404c0cc,7,no_memory,2026,exploration,62ca90409ea7d5b594b43c538ca7457ad8e8697b0966de5a2ded09c2d754b97a,0.65,0.65,136785,1500,95.81123288115487,self_consistency,3,r1 | r2 | r3,r1 | r2 | r3,majority_vote,0.0,1024,Using self_consistency with majority_vote may improve accuracy by leveraging multiple independent reasoning paths and aggregating the most supported answer.,"Modify the system_prompt to explicitly encourage consensus-building among roles, e.g., 'Each role should independently reason, then collectively agree on the most supported answer.'"
22,bf901143-93ec-4215-a15d-2000b78aa35e,6,full_memory,2026,exploration,aecc2d69d7bb44bc4be7312aa984008389366b88c66a80ae18d04b6f2527ff8b,0.49,0.49,161546,26847,422.7254846133292,critique_and_revision,3,agent1 | agent2 | agent3,agent1 | agent2 | agent3,final_revision,0.0,1024,"Using critique_and_revision reasoning mode with final_revision aggregation and three agents improves accuracy by incorporating iterative refinement and peer critique, which may better handle biomedical ambiguity and reduce extraction errors.",Reduce agent_count to 1 and test with direct + single_answer mode to isolate whether multi-agent collaboration is detrimental to performance.
23,6985cbc5-4e4b-4566-b14c-614fefc10ba2,7,full_memory,2026,exploitation,13cdc0d7318395dd79cfaae9a0c7324e4a23e1d96ec040d6a16c38b585ce8627,0.47,0.47,172827,26350,416.43872610107064,critique_and_revision,3,agent1 | agent2 | agent3,agent1 | agent2 | agent3,final_revision,0.0,1024,"Using critique_and_revision reasoning mode with final_revision aggregation and three agents improves accuracy by allowing iterative refinement of reasoning, which may better handle biomedical ambiguity and reduce extraction errors.",Reduce agent_count to 1 and test with direct + single_answer mode to isolate whether the multi-agent structure is the source of inefficiency or if the reasoning mode itself is flawed.
24,d791eabf-70a3-4fdb-aa9a-357d84be2059,3,full_memory,2026,exploitation,65cea62e4790596092e5027ad1392376c54d9e8c86c3bb2a4935337aaa1bec0b,0.46,0.46,167234,23100,365.96206329902634,critique_and_revision,3,agent1 | agent2 | agent3,agent1 | agent2 | agent3,final_revision,0.0,1024,"Using critique_and_revision reasoning mode with final_revision aggregation and three agents improves accuracy by allowing iterative refinement and consensus, which may better handle biomedical ambiguity and reduce extraction errors.",Reduce agent_count to 1 and test with reasoning_mode='chain_of_thought' to evaluate if step-by-step verification improves accuracy without the overhead of multi-agent coordination.
25,3fde09f6-9241-4d28-a0b4-fcf7a5bb8917,7,memory_without_augmentation,2026,exploitation,9c4615f22f6280a11fc6f486bc342e556ea53e7a888d57696fb84c600ebd829c,0.44,0.44,163528,30054,471.670591452159,critique_and_revision,3,reasoner | critic | final_revisor,reasoner | critic | final_revisor,final_revision,0.0,1024,"Using critique_and_revision with final_revision aggregation and three agents improves accuracy by allowing iterative refinement of reasoning through peer critique, which may better handle the nuanced and uncertain nature of biomedical evidence.",Reduce agent_count to 1 and simplify the reasoning_mode to direct to minimize computational overhead and evaluate if accuracy can be improved without the complexity of peer critique.
26,a4f157d3-a894-486f-bcde-1ec45c8f335a,8,memory_without_augmentation,2026,exploration,a0ba64186e5bb7f71e78afa6ad2e8ca33bf409487f5793f5fd3700fd7bccd13f,0.44,0.44,163428,30054,472.7075844439678,critique_and_revision,3,reasoner | critic | final_revision,reasoner | critic | final_revision,final_revision,0.0,1024,"Using critique_and_revision with final_revision aggregation and three agents improves accuracy by allowing iterative refinement of reasoning through peer critique, which may better handle the nuanced and uncertain nature of biomedical evidence.",Reduce agent_count to 1 and test with direct + single_answer mode to simplify the reasoning process and observe if accuracy improves.
27,70492af3-a9bb-4109-983d-084503c37df5,9,full_memory,2026,exploitation,5b0cdd30f452db61bd5ff06facb297ca68d93c305582dfcfbdbe84e64a0f0065,0.43,0.43,166732,22438,356.4855286581442,critique_and_revision,3,agent1 | agent2 | agent3,agent1 | agent2 | agent3,final_revision,0.0,1024,"Using critique_and_revision reasoning mode with final_revision aggregation and three agents improves accuracy by incorporating iterative refinement through critique, which may better handle biomedical ambiguity and reduce extraction errors.",Reduce agent_count to 1 and test with direct reasoning mode to isolate whether the multi-agent critique mechanism is detrimental to performance.
28,61e75e7b-1bd5-42f4-8d73-73eb7cef26af,8,full_memory,2026,exploration,53b9ff170ed47106b345ebde8db8e4260bf4cc573477a199b4a91afddad9bb59,0.42,0.42,183160,36451,570.7606807998382,critique_and_revision,3,agent1 | agent2 | agent3,agent1 | agent2 | agent3,final_revision,0.0,1024,"Using critique_and_revision reasoning mode with final_revision aggregation and three agents improves accuracy by allowing iterative refinement of reasoning through peer critique, which may better handle biomedical ambiguity and reduce extraction errors.",Reduce agent_count to 1 and test with reasoning_mode=chain_of_thought to evaluate if step-by-step verification improves accuracy without the overhead of multi-agent critique.
29,094674f5-8bcc-4bf0-b61f-18bdaa1f8aa3,4,memory_without_augmentation,2026,exploration,2b82492132634279ad892848b7a72951e74eec1c4e515efa13ac56513589c94a,0.37,0.37,193335,49488,770.6387422117405,critique_and_revision,3,reasoner | critic1 | critic2,reasoner | critic1 | critic2,final_revision,0.0,2048,"Using critique_and_revision with final_revision aggregation and three agents improves accuracy by allowing iterative refinement of reasoning through peer critique, which may better handle the nuanced and uncertain nature of biomedical evidence.","Reduce agent_count to 2 and test with a shorter reasoning_mode (e.g., chain_of_thought) to balance quality and latency, while keeping max_tokens at 2048."
30,9adb571f-cf0e-4f1e-a6da-f23fcd17ccb0,2,memory_without_augmentation,2026,exploration,86abfa4b4af0dba22a52854ee41507331118b943248bff4afd70e4c88ab010a9,0.3,0.3,196674,48779,759.9628565390594,critique_and_revision,3,reasoner | critic1 | critic2,reasoner | critic1 | critic2,final_revision,0.0,1024,"Using critique_and_revision with final_revision aggregation and three agents improves accuracy by allowing iterative refinement of reasoning through peer critique, which may better handle the nuanced and uncertain nature of biomedical evidence.","Reduce agent_count to 1 and test with direct + single_answer mode to measure baseline performance under the same system_prompt and model settings, isolating the impact of multi-agent structure."
